,post_id,comment_sentiment,comment_happy,comment_angry,comment_surprise,comment_sad,comment_fear,comment_number
84,00e3fbd75e8b222fcbcd514d622752fe,0.0,0.0,0.0,0.0,0.0,0.0,1
85,00e6d47ad8ac780030331721cf97a437,0.5244,0.0,0.0,0.0,0.0,1.0,1
86,00e72ab86015d11df81af5b0e53bfed3,0.0258,0.0,0.0,0.5,0.0,0.5,1
87,00ea80982ccc9f4e330264de5b7bce61,0.9117,0.67,0.0,0.33,0.0,0.0,4
88,00f6a6336b274789ca11a789f4ef8e48,-0.1916,0.1,0.0,0.4,0.3,0.2,7
89,00f8fccdfaa3484392a7a10944e42cab,-0.2905,0.0,0.0,0.33,0.33,0.33,7
90,00f95c200d657f3b7733208299339fa9,-0.5829,0.0,0.0,0.0,0.67,0.33,3
91,00fb2a06240e05ce0c64e582fc95a06d,0.7269,0.0,0.0,0.4,0.2,0.4,4
92,00fd2526c4cbf2c69f8925b8d87cfef8,0.9547,0.0,0.0,0.0,1.0,0.0,4
93,00fdcc7a9df832a7b0e49027a36be711,-0.9001,0.0,0.0,0.0,0.0,0.0,2
94,00ff4f95f02d2f5695eb5844c97b020f,-0.9005,0.14,0.14,0.0,0.43,0.29,2
95,0102f76387d38ad5e69385ecf4720d62,0.9559,1.0,0.0,0.0,0.0,0.0,5
96,0107c3c29f6fb9f74d7ccf4a8b735f5b,0.6486,0.0,0.0,0.0,0.0,0.0,1
97,010ac59c942c1ad3a288e0679d2a88c5,0.0,0.0,0.0,1.0,0.0,0.0,1
98,010be0af27d183d91ef66eff55029434,0.5927,0.0,0.0,0.0,0.0,0.0,1
99,01129bc241dab383d785fa7f7d3cc06a,0.0,0.0,0.0,0.0,0.0,0.0,1
100,0112bcd89a114809d16918cd4eeed6e0,0.0,0.0,0.0,0.0,0.0,0.0,1
101,0112e2552df6f01012f44bfa0d2e1c6a,0.5484,0.5,0.0,0.5,0.0,0.0,1
102,01134e4ba31af8b60521e79f909cdc6c,0.555,0.0,0.0,0.0,0.0,1.0,2
103,0115bf7520cc0b494588d0afee79a96e,0.0,0.0,0.0,0.0,1.0,0.0,1
104,011ae43642af8b7e6faf6c33f3c77695,0.6705,0.0,0.0,0.0,0.0,0.0,1
105,011bbc065e81f14b86716b607e833165,0.8481,1.0,0.0,0.0,0.0,0.0,2
106,011c80c067445f79b094f95df6fdb0e6,0.0,0.0,0.0,0.0,0.33,0.67,2
107,011c860cb8fc9b8d1b767422a32b7dc8,0.0,0.0,0.0,0.0,0.0,0.0,1
108,01208f0fcdd0e09d0d677a7407fab978,0.5994,0.0,0.0,0.0,0.0,0.0,1
109,0120c1ce98394cf11796f4d643f244b7,0.0,0.0,0.0,0.0,0.0,1.0,3
110,012ad6dfbbbc7d139b35f7cbd3698886,0.0,0.0,0.0,0.0,0.0,0.0,1
